alpha,beta,gamma,delta,gamma1,gamma2,k,alive,stddev
0.0704245,-1.014,5,0.000817193,5.87933,0.476987,-0.646132,4507,9.30537
0.45981,-1.9739,3.05065,0.000322304,5.87933,0.476987,-0.646132,4475,8.2289
-0.0845517,-2.60644,3.79169,1e-08,5.87933,0.476987,-0.646132,4572,10.2561
0.388959,-1.47295,3.94137,0.001,5.87933,0.476987,-0.646132,4579,5.01521
-0.180822,-3,3.75423,1e-08,5.87933,0.476987,-0.646132,4567,8.16217
0.646088,-3,2.994,0.000316758,4.78799,3.72558,0.530564,4640,5.56776
0.646088,-3,2.994,0.000316758,0.732811,0.86044,0.580493,4489,11.4125
0.646088,-3,2.994,0.000316758,1.43724,0.3025,-0.88873,4593,5.47116
0.646088,-3,2.994,0.000316758,3.36119,1.90069,-0.516953,4412,10.0716
0.646088,-3,2.994,0.000316758,3.72338,1.41179,0.352886,4456,12.0727
0.0704245,-1.014,5,0.000817193,3.36119,3.62668,1,4598,6.08148
0.45981,-1.9739,3.05065,0.000322304,3.36119,3.62668,1,4650,3.88708
0.646088,-3,2.994,0.000316758,3.36119,3.62668,1,4648,4.83477
0.388959,-1.47295,3.94137,0.001,3.36119,3.62668,1,4600,5.44289
-0.180822,-3,3.75423,1e-08,3.36119,3.62668,1,4545,6.51411
0.330625,-3,3.19586,0.000221733,4.78799,3.72558,0.530564,4648,5.75543
0.330625,-3,3.19586,0.000221733,0.732811,0.86044,0.580493,4416,9.92472
0.330625,-3,3.19586,0.000221733,1.43724,0.3025,-0.88873,4657,5.28522
0.330625,-3,3.19586,0.000221733,3.36119,1.90069,-0.516953,4497,5.08022
0.330625,-3,3.19586,0.000221733,3.72338,1.41179,0.352886,4413,7.68293
0.330625,-3,3.19586,0.000221733,5.23989,0.914586,0.530564,4416,8.04674
0.45981,-1.9739,3.05065,0.000322304,5.23989,0.914586,0.530564,4381,10.3454
0.646088,-3,2.994,0.000316758,5.23989,0.914586,0.530564,4407,7.74571
0.388959,-1.47295,3.94137,0.001,5.23989,0.914586,0.530564,4315,8.31955
-0.180822,-3,3.75423,1e-08,5.23989,0.914586,0.530564,4178,12.6139
-0.271252,-3,3.85588,1e-08,4.78799,3.72558,0.530564,4499,9.37562
-0.271252,-3,3.85588,1e-08,0.732811,0.86044,0.580493,4101,9.99199
